"Positions for account Individual ...417 as of 04:57 PM ET, 2025/12/31"

"Symbol","Description","Qty (Quantity)","Price","Price Chng $ (Price Change $)","Price Chng % (Price Change %)","Mkt Val (Market Value)","Day Chng $ (Day Change $)","Day Chng % (Day Change %)","Cost Basis","Gain $ (Gain/Loss $)","Gain % (Gain/Loss %)","Reinvest?","Reinvest Capital Gains?","Security Type",
"AAPL","APPLE INC","120","$198.42","+$1.12","+0.57%","$23,810.40","+$134.40","+0.57%","$19,500.00","$4,310.40","22.11%","Yes","N/A","Equity",
"MSFT","MICROSOFT CORP","85","$483.56","-$3.92","-0.8%","$41,102.60","-$333.20","-0.8%","$36,200.00","$4,902.60","13.54%","Yes","N/A","Equity",
"NVDA","NVIDIA CORP","140","$186.39","-$1.16","-0.62%","$26,094.60","-$162.40","-0.62%","$18,900.00","$7,194.60","38.05%","Yes","N/A","Equity",
"AMZN","AMAZON.COM INC","60","$230.83","-$1.70","-0.73%","$13,849.80","-$102.00","-0.73%","$12,100.00","$1,749.80","14.46%","Yes","N/A","Equity",
"GOOGL","ALPHABET INC CLASS A","70","$312.91","-$0.94","-0.3%","$21,903.70","-$65.80","-0.3%","$18,500.00","$3,403.70","18.40%","Yes","N/A","Equity",
"META","META PLATFORMS INC CLASS A","35","$659.55","-$6.40","-0.96%","$23,084.25","-$224.00","-0.96%","$19,600.00","$3,484.25","17.78%","Yes","N/A","Equity",
"TSLA","TESLA INC","90","$271.85","-$3.20","-1.16%","$24,466.50","-$288.00","-1.16%","$26,100.00","-$1,633.50","-6.26%","Yes","N/A","Equity",
"JPM","JPMORGAN CHASE & CO","110","$322.32","-$1.10","-0.34%","$35,455.20","-$121.00","-0.34%","$30,900.00","$4,555.20","14.74%","Yes","N/A","Equity",
"V","VISA INC CLASS A","95","$276.41","+$1.84","+0.67%","$26,258.95","+$174.80","+0.67%","$21,750.00","$4,508.95","20.72%","Yes","N/A","Equity",
"JNJ","JOHNSON & JOHNSON","80","$164.22","+$0.58","+0.35%","$13,137.60","+$46.40","+0.35%","$12,000.00","$1,137.60","9.48%","Yes","N/A","Equity",
"VOO","VANGUARD S&P 500 ETF","150","$627.24","-$4.48","-0.71%","$94,086.00","-$672.00","-0.71%","$82,500.00","$11,586.00","14.04%","No","N/A","ETFs & Closed End Funds",
"VTI","VANGUARD TOTAL STOCK MARKET ETF","120","$335.46","-$2.39","-0.71%","$40,255.20","-$286.80","-0.71%","$35,600.00","$4,655.20","13.08%","No","N/A","ETFs & Closed End Funds",
"QQQ","INVESCO QQQ TRUST","90","$409.88","-$2.91","-0.71%","$36,889.20","-$261.90","-0.71%","$31,200.00","$5,689.20","18.24%","No","N/A","ETFs & Closed End Funds",
"Cash & Cash Investments","--","--","--","--","--","$42,750.00","$0.00","0%","--","--","--","--","--","Cash and Money Market",
"Account Total","","--","--","--","--","$463,144.20","-$3,174.30","-0.68%","$396,845.00","$66,299.20","16.71%","--","--","--",
